"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Mother's Bridged Race/Hispanic Origin"	"Mother's Bridged Race/Hispanic Origin Code"	Deaths	Births	Death Rate
	"Arkansas"	"05"	"2017"	"2017"	"Non-Hispanic Black"	"7"	92	7295	12.61
	"Arkansas"	"05"	"2018"	"2018"	"Non-Hispanic White"	"6"	153	23968	6.38
	"Arkansas"	"05"	"2018"	"2018"	"Non-Hispanic Black"	"7"	87	7171	12.13
	"Arkansas"	"05"	"2019"	"2019"	"Non-Hispanic White"	"6"	136	23443	5.80
	"Arkansas"	"05"	"2019"	"2019"	"Non-Hispanic Black"	"7"	81	7212	11.23
	"California"	"06"	"2007"	"2007"	"Non-Hispanic White"	"6"	731	155912	4.69
	"California"	"06"	"2007"	"2007"	"Non-Hispanic Black"	"7"	342	31783	10.76
	"California"	"06"	"2008"	"2008"	"Non-Hispanic White"	"6"	631	151407	4.17
	"California"	"06"	"2008"	"2008"	"Non-Hispanic Black"	"7"	339	31975	10.60
	"California"	"06"	"2009"	"2009"	"Non-Hispanic White"	"6"	594	146402	4.06
	"California"	"06"	"2009"	"2009"	"Non-Hispanic Black"	"7"	303	31090	9.75
	"California"	"06"	"2010"	"2010"	"Non-Hispanic White"	"6"	607	145931	4.16
	"California"	"06"	"2010"	"2010"	"Non-Hispanic Black"	"7"	271	30336	8.93
	"California"	"06"	"2011"	"2011"	"Non-Hispanic White"	"6"	577	144584	3.99
	"California"	"06"	"2011"	"2011"	"Non-Hispanic Black"	"7"	293	29902	9.80
	"California"	"06"	"2012"	"2012"	"Non-Hispanic White"	"6"	518	142697	3.63
	"California"	"06"	"2012"	"2012"	"Non-Hispanic Black"	"7"	254	29438	8.63
	"California"	"06"	"2013"	"2013"	"Non-Hispanic White"	"6"	592	143531	4.12
	"California"	"06"	"2013"	"2013"	"Non-Hispanic Black"	"7"	278	28931	9.61
	"California"	"06"	"2014"	"2014"	"Non-Hispanic White"	"6"	495	144318	3.43
	"California"	"06"	"2014"	"2014"	"Non-Hispanic Black"	"7"	288	28312	10.17
	"California"	"06"	"2015"	"2015"	"Non-Hispanic White"	"6"	523	141592	3.69
	"California"	"06"	"2015"	"2015"	"Non-Hispanic Black"	"7"	239	27035	8.84
	"California"	"06"	"2016"	"2016"	"Non-Hispanic White"	"6"	485	138319	3.51
	"California"	"06"	"2016"	"2016"	"Non-Hispanic Black"	"7"	222	26985	8.23
	"California"	"06"	"2017"	"2017"	"Non-Hispanic White"	"6"	410	133165	3.08
	"California"	"06"	"2017"	"2017"	"Non-Hispanic Black"	"7"	221	26440	8.36
	"California"	"06"	"2018"	"2018"	"Non-Hispanic White"	"6"	393	128477	3.06
	"California"	"06"	"2018"	"2018"	"Non-Hispanic Black"	"7"	210	25370	8.28
	"California"	"06"	"2019"	"2019"	"Non-Hispanic White"	"6"	443	125951	3.52
	"California"	"06"	"2019"	"2019"	"Non-Hispanic Black"	"7"	202	25417	7.95
	"Colorado"	"08"	"2007"	"2007"	"Non-Hispanic White"	"6"	213	41843	5.09
	"Colorado"	"08"	"2007"	"2007"	"Non-Hispanic Black"	"7"	44	3121	14.10
	"Colorado"	"08"	"2008"	"2008"	"Non-Hispanic White"	"6"	208	41489	5.01
	"Colorado"	"08"	"2008"	"2008"	"Non-Hispanic Black"	"7"	33	3140	10.51
	"Colorado"	"08"	"2009"	"2009"	"Non-Hispanic White"	"6"	220	41169	5.34
	"Colorado"	"08"	"2009"	"2009"	"Non-Hispanic Black"	"7"	44	3120	14.10
	"Colorado"	"08"	"2010"	"2010"	"Non-Hispanic White"	"6"	218	40164	5.43
	"Colorado"	"08"	"2010"	"2010"	"Non-Hispanic Black"	"7"	43	3201	13.43
	"Colorado"	"08"	"2011"	"2011"	"Non-Hispanic White"	"6"	185	40439	4.57
	"Colorado"	"08"	"2011"	"2011"	"Non-Hispanic Black"	"7"	26	3054	8.51
	"Colorado"	"08"	"2012"	"2012"	"Non-Hispanic White"	"6"	150	39997	3.75
	"Colorado"	"08"	"2012"	"2012"	"Non-Hispanic Black"	"7"	36	3122	11.53
	"Colorado"	"08"	"2013"	"2013"	"Non-Hispanic White"	"6"	167	39872	4.19
	"Colorado"	"08"	"2013"	"2013"	"Non-Hispanic Black"	"7"	28	3224	8.68
	"Colorado"	"08"	"2014"	"2014"	"Non-Hispanic White"	"6"	179	40629	4.41
	"Colorado"	"08"	"2014"	"2014"	"Non-Hispanic Black"	"7"	33	3355	9.84
	"Colorado"	"08"	"2015"	"2015"	"Non-Hispanic White"	"6"	155	40878	3.79
	"Colorado"	"08"	"2015"	"2015"	"Non-Hispanic Black"	"7"	28	3453	8.11
	"Colorado"	"08"	"2016"	"2016"	"Non-Hispanic White"	"6"	162	40346	4.02
	"Colorado"	"08"	"2016"	"2016"	"Non-Hispanic Black"	"7"	40	3415	11.71
	"Colorado"	"08"	"2017"	"2017"	"Non-Hispanic White"	"6"	157	38233	4.11
	"Colorado"	"08"	"2017"	"2017"	"Non-Hispanic Black"	"7"	22	3560	6.18
	"Colorado"	"08"	"2018"	"2018"	"Non-Hispanic White"	"6"	154	37236	4.14
	"Colorado"	"08"	"2018"	"2018"	"Non-Hispanic Black"	"7"	21	3487	6.02
	"Colorado"	"08"	"2019"	"2019"	"Non-Hispanic White"	"6"	131	36745	3.57
	"Colorado"	"08"	"2019"	"2019"	"Non-Hispanic Black"	"7"	34	3524	9.65
	"Connecticut"	"09"	"2007"	"2007"	"Non-Hispanic White"	"6"	139	24915	5.58
	"Connecticut"	"09"	"2007"	"2007"	"Non-Hispanic Black"	"7"	67	5171	12.96
	"Connecticut"	"09"	"2008"	"2008"	"Non-Hispanic White"	"6"	102	23955	4.26
	"Connecticut"	"09"	"2008"	"2008"	"Non-Hispanic Black"	"7"	66	5142	12.84
	"Connecticut"	"09"	"2009"	"2009"	"Non-Hispanic White"	"6"	87	22800	3.82
	"Connecticut"	"09"	"2009"	"2009"	"Non-Hispanic Black"	"7"	59	4970	11.87
	"Connecticut"	"09"	"2010"	"2010"	"Non-Hispanic White"	"6"	85	22021	3.86
	"Connecticut"	"09"	"2010"	"2010"	"Non-Hispanic Black"	"7"	49	4742	10.33
	"Connecticut"	"09"	"2011"	"2011"	"Non-Hispanic White"	"6"	78	21538	3.62
	"Connecticut"	"09"	"2011"	"2011"	"Non-Hispanic Black"	"7"	46	4776	9.63
	"Connecticut"	"09"	"2012"	"2012"	"Non-Hispanic White"	"6"	78	21261	3.67
	"Connecticut"	"09"	"2012"	"2012"	"Non-Hispanic Black"	"7"	55	4716	11.66
	"Connecticut"	"09"	"2013"	"2013"	"Non-Hispanic White"	"6"	79	20704	3.82
	"Connecticut"	"09"	"2013"	"2013"	"Non-Hispanic Black"	"7"	43	4606	9.34
	"Connecticut"	"09"	"2014"	"2014"	"Non-Hispanic White"	"6"	70	20933	3.34
	"Connecticut"	"09"	"2014"	"2014"	"Non-Hispanic Black"	"7"	37	4615	8.02
	"Connecticut"	"09"	"2015"	"2015"	"Non-Hispanic White"	"6"	69	20395	3.38
	"Connecticut"	"09"	"2015"	"2015"	"Non-Hispanic Black"	"7"	55	4439	12.39
	"Connecticut"	"09"	"2016"	"2016"	"Non-Hispanic White"	"6"	58	19879	2.92
	"Connecticut"	"09"	"2016"	"2016"	"Non-Hispanic Black"	"7"	55	4710	11.68
	"Connecticut"	"09"	"2017"	"2017"	"Non-Hispanic White"	"6"	57	19180	2.97
	"Connecticut"	"09"	"2017"	"2017"	"Non-Hispanic Black"	"7"	47	4568	10.29
	"Connecticut"	"09"	"2018"	"2018"	"Non-Hispanic White"	"6"	53	18839	2.81
	"Connecticut"	"09"	"2018"	"2018"	"Non-Hispanic Black"	"7"	31	4705	6.59
	"Connecticut"	"09"	"2019"	"2019"	"Non-Hispanic White"	"6"	64	18691	3.42
	"Connecticut"	"09"	"2019"	"2019"	"Non-Hispanic Black"	"7"	37	4499	8.22
	"Delaware"	"10"	"2007"	"2007"	"Non-Hispanic White"	"6"	34	6496	5.23
	"Delaware"	"10"	"2007"	"2007"	"Non-Hispanic Black"	"7"	37	3214	11.51
	"Delaware"	"10"	"2008"	"2008"	"Non-Hispanic White"	"6"	40	6459	6.19
	"Delaware"	"10"	"2008"	"2008"	"Non-Hispanic Black"	"7"	51	3226	15.81
	"Delaware"	"10"	"2009"	"2009"	"Non-Hispanic White"	"6"	28	6183	4.53
	"Delaware"	"10"	"2009"	"2009"	"Non-Hispanic Black"	"7"	54	3176	17.00
	"Delaware"	"10"	"2010"	"2010"	"Non-Hispanic White"	"6"	44	6338	6.94
	"Delaware"	"10"	"2010"	"2010"	"Non-Hispanic Black"	"7"	32	3054	10.48
	"Delaware"	"10"	"2011"	"2011"	"Non-Hispanic White"	"6"	46	6222	7.39
	"Delaware"	"10"	"2011"	"2011"	"Non-Hispanic Black"	"7"	40	3031	13.20
	"Delaware"	"10"	"2012"	"2012"	"Non-Hispanic White"	"6"	30	6143	4.88
	"Delaware"	"10"	"2012"	"2012"	"Non-Hispanic Black"	"7"	38	2913	13.04
	"Delaware"	"10"	"2013"	"2013"	"Non-Hispanic White"	"6"	27	5942	4.54
	"Delaware"	"10"	"2013"	"2013"	"Non-Hispanic Black"	"7"	36	2961	12.16
	"Delaware"	"10"	"2014"	"2014"	"Non-Hispanic White"	"6"	28	5904	4.74
	"Delaware"	"10"	"2014"	"2014"	"Non-Hispanic Black"	"7"	30	2847	10.54
	"Delaware"	"10"	"2015"	"2015"	"Non-Hispanic White"	"6"	46	5959	7.72
	"Delaware"	"10"	"2015"	"2015"	"Non-Hispanic Black"	"7"	39	2986	13.06
	"Delaware"	"10"	"2016"	"2016"	"Non-Hispanic White"	"6"	35	5920	5.91
	"Delaware"	"10"	"2016"	"2016"	"Non-Hispanic Black"	"7"	37	2954	12.53
	"Delaware"	"10"	"2017"	"2017"	"Non-Hispanic White"	"6"	18	5434	3.31 (Unreliable)
	"Delaware"	"10"	"2017"	"2017"	"Non-Hispanic Black"	"7"	38	2964	12.82
	"Delaware"	"10"	"2018"	"2018"	"Non-Hispanic White"	"6"	20	5287	3.78
	"Delaware"	"10"	"2018"	"2018"	"Non-Hispanic Black"	"7"	33	2915	11.32
	"Delaware"	"10"	"2019"	"2019"	"Non-Hispanic White"	"6"	11	5172	2.13 (Unreliable)
	"Delaware"	"10"	"2019"	"2019"	"Non-Hispanic Black"	"7"	38	2954	12.86
	"District of Columbia"	"11"	"2007"	"2007"	"Non-Hispanic White"	"6"	12	2257	5.32 (Unreliable)
	"District of Columbia"	"11"	"2007"	"2007"	"Non-Hispanic Black"	"7"	88	4910	17.92
	"District of Columbia"	"11"	"2008"	"2008"	"Non-Hispanic White"	"6"	11	2364	4.65 (Unreliable)
	"District of Columbia"	"11"	"2008"	"2008"	"Non-Hispanic Black"	"7"	85	5012	16.96
	"District of Columbia"	"11"	"2009"	"2009"	"Non-Hispanic Black"	"7"	70	4718	14.84
	"District of Columbia"	"11"	"2010"	"2010"	"Non-Hispanic White"	"6"	13	2492	5.22 (Unreliable)
	"District of Columbia"	"11"	"2010"	"2010"	"Non-Hispanic Black"	"7"	48	4870	9.86
	"District of Columbia"	"11"	"2011"	"2011"	"Non-Hispanic Black"	"7"	55	4809	11.44
	"District of Columbia"	"11"	"2012"	"2012"	"Non-Hispanic Black"	"7"	59	4783	12.34
	"District of Columbia"	"11"	"2013"	"2013"	"Non-Hispanic Black"	"7"	46	4798	9.59
	"District of Columbia"	"11"	"2014"	"2014"	"Non-Hispanic White"	"6"	10	2966	3.37 (Unreliable)
	"District of Columbia"	"11"	"2014"	"2014"	"Non-Hispanic Black"	"7"	52	4775	10.89
	"District of Columbia"	"11"	"2015"	"2015"	"Non-Hispanic Black"	"7"	67	4802	13.95
	"District of Columbia"	"11"	"2016"	"2016"	"Non-Hispanic Black"	"7"	56	4895	11.44
	"District of Columbia"	"11"	"2017"	"2017"	"Non-Hispanic White"	"6"	13	3093	4.20 (Unreliable)
	"District of Columbia"	"11"	"2017"	"2017"	"Non-Hispanic Black"	"7"	55	4677	11.76
	"District of Columbia"	"11"	"2018"	"2018"	"Non-Hispanic Black"	"7"	61	4342	14.05
	"District of Columbia"	"11"	"2019"	"2019"	"Non-Hispanic Black"	"7"	38	4241	8.96
	"Florida"	"12"	"2007"	"2007"	"Non-Hispanic White"	"6"	573	107816	5.31
	"Florida"	"12"	"2007"	"2007"	"Non-Hispanic Black"	"7"	674	51799	13.01
	"Florida"	"12"	"2008"	"2008"	"Non-Hispanic White"	"6"	611	105710	5.78
	"Florida"	"12"	"2008"	"2008"	"Non-Hispanic Black"	"7"	653	51699	12.63
	"Florida"	"12"	"2009"	"2009"	"Non-Hispanic White"	"6"	536	100577	5.33
	"Florida"	"12"	"2009"	"2009"	"Non-Hispanic Black"	"7"	638	50723	12.58
	"Florida"	"12"	"2010"	"2010"	"Non-Hispanic White"	"6"	511	97984	5.22
	"Florida"	"12"	"2010"	"2010"	"Non-Hispanic Black"	"7"	563	49489	11.38
	"Florida"	"12"	"2011"	"2011"	"Non-Hispanic White"	"6"	476	97304	4.89
	"Florida"	"12"	"2011"	"2011"	"Non-Hispanic Black"	"7"	557	49084	11.35
	"Florida"	"12"	"2012"	"2012"	"Non-Hispanic White"	"6"	468	97042	4.82
	"Florida"	"12"	"2012"	"2012"	"Non-Hispanic Black"	"7"	516	49374	10.45
	"Florida"	"12"	"2013"	"2013"	"Non-Hispanic White"	"6"	534	98586	5.42
	"Florida"	"12"	"2013"	"2013"	"Non-Hispanic Black"	"7"	520	49113	10.59
	"Florida"	"12"	"2014"	"2014"	"Non-Hispanic White"	"6"	506	100837	5.02
	"Florida"	"12"	"2014"	"2014"	"Non-Hispanic Black"	"7"	517	49313	10.48
	"Florida"	"12"	"2015"	"2015"	"Non-Hispanic White"	"6"	510	102549	4.97
	"Florida"	"12"	"2015"	"2015"	"Non-Hispanic Black"	"7"	544	49609	10.97
	"Florida"	"12"	"2016"	"2016"	"Non-Hispanic White"	"6"	473	100621	4.70
	"Florida"	"12"	"2016"	"2016"	"Non-Hispanic Black"	"7"	548	49788	11.01
	"Florida"	"12"	"2017"	"2017"	"Non-Hispanic White"	"6"	473	97704	4.84
	"Florida"	"12"	"2017"	"2017"	"Non-Hispanic Black"	"7"	532	50385	10.56
	"Florida"	"12"	"2018"	"2018"	"Non-Hispanic White"	"6"	471	97290	4.84
	"Florida"	"12"	"2018"	"2018"	"Non-Hispanic Black"	"7"	535	49101	10.90
	"Florida"	"12"	"2019"	"2019"	"Non-Hispanic White"	"6"	440	95061	4.63
	"Florida"	"12"	"2019"	"2019"	"Non-Hispanic Black"	"7"	521	48761	10.68
	"Georgia"	"13"	"2007"	"2007"	"Non-Hispanic White"	"6"	408	68659	5.94
	"Georgia"	"13"	"2007"	"2007"	"Non-Hispanic Black"	"7"	642	49620	12.94
	"Georgia"	"13"	"2008"	"2008"	"Non-Hispanic White"	"6"	375	63757	5.88
	"Georgia"	"13"	"2008"	"2008"	"Non-Hispanic Black"	"7"	600	48298	12.42
	"Georgia"	"13"	"2009"	"2009"	"Non-Hispanic White"	"6"	326	61727	5.28
	"Georgia"	"13"	"2009"	"2009"	"Non-Hispanic Black"	"7"	533	46235	11.53
	"Georgia"	"13"	"2010"	"2010"	"Non-Hispanic White"	"6"	307	59700	5.14
	"Georgia"	"13"	"2010"	"2010"	"Non-Hispanic Black"	"7"	413	44824	9.21
	"Georgia"	"13"	"2011"	"2011"	"Non-Hispanic White"	"6"	303	60622	5.00
	"Georgia"	"13"	"2011"	"2011"	"Non-Hispanic Black"	"7"	490	44649	10.97
	"Georgia"	"13"	"2012"	"2012"	"Non-Hispanic White"	"6"	301	60311	4.99
	"Georgia"	"13"	"2012"	"2012"	"Non-Hispanic Black"	"7"	398	44293	8.99
	"Georgia"	"13"	"2013"	"2013"	"Non-Hispanic White"	"6"	308	59379	5.19
	"Georgia"	"13"	"2013"	"2013"	"Non-Hispanic Black"	"7"	449	44381	10.12
	"Georgia"	"13"	"2014"	"2014"	"Non-Hispanic White"	"6"	298	60104	4.96
	"Georgia"	"13"	"2014"	"2014"	"Non-Hispanic Black"	"7"	541	45022	12.02
	"Georgia"	"13"	"2015"	"2015"	"Non-Hispanic White"	"6"	311	60328	5.16
	"Georgia"	"13"	"2015"	"2015"	"Non-Hispanic Black"	"7"	570	45461	12.54
	"Georgia"	"13"	"2016"	"2016"	"Non-Hispanic White"	"6"	318	58885	5.40
	"Georgia"	"13"	"2016"	"2016"	"Non-Hispanic Black"	"7"	515	45457	11.33
	"Georgia"	"13"	"2017"	"2017"	"Non-Hispanic White"	"6"	280	57948	4.83
	"Georgia"	"13"	"2017"	"2017"	"Non-Hispanic Black"	"7"	497	45579	10.90
	"Georgia"	"13"	"2018"	"2018"	"Non-Hispanic White"	"6"	282	56693	4.97
	"Georgia"	"13"	"2018"	"2018"	"Non-Hispanic Black"	"7"	500	44873	11.14
	"Georgia"	"13"	"2019"	"2019"	"Non-Hispanic White"	"6"	285	55840	5.10
	"Georgia"	"13"	"2019"	"2019"	"Non-Hispanic Black"	"7"	455	44918	10.13
	"Hawaii"	"15"	"2007"	"2007"	"Non-Hispanic White"	"6"	25	4494	5.56
	"Hawaii"	"15"	"2008"	"2008"	"Non-Hispanic White"	"6"	23	4812	4.78
	"Hawaii"	"15"	"2009"	"2009"	"Non-Hispanic White"	"6"	20	4603	4.34
