"Notes","State","State Code","Year of Death","Year of Death Code",Deaths,Births,Death Rate
,"Oklahoma","40","1997","1997",364,48269,7.54
,"Oklahoma","40","1998","1998",419,49461,8.47
"Total","Oklahoma","40",,,1550,189595,8.18
,"Oregon","41","1995","1995",262,42811,6.12
,"Oregon","41","1996","1996",237,43658,5.43
,"Oregon","41","1997","1997",251,43809,5.73
,"Oregon","41","1998","1998",244,45273,5.39
"Total","Oregon","41",,,994,175551,5.66
,"Pennsylvania","42","1995","1995",1179,151850,7.76
,"Pennsylvania","42","1996","1996",1160,148338,7.82
,"Pennsylvania","42","1997","1997",1101,144224,7.63
,"Pennsylvania","42","1998","1998",1041,145899,7.14
"Total","Pennsylvania","42",,,4482,590311,7.59
,"Rhode Island","44","1995","1995",91,12776,7.12
,"Rhode Island","44","1996","1996",66,12652,5.22
,"Rhode Island","44","1997","1997",88,12455,7.07
,"Rhode Island","44","1998","1998",91,12599,7.22
"Total","Rhode Island","44",,,335,50482,6.64
,"South Carolina","45","1995","1995",488,50926,9.58
,"South Carolina","45","1996","1996",431,51117,8.43
,"South Carolina","45","1997","1997",502,52214,9.61
,"South Carolina","45","1998","1998",514,53877,9.54
"Total","South Carolina","45",,,1935,208134,9.30
,"South Dakota","46","1995","1995",96,10475,9.16
,"South Dakota","46","1996","1996",60,10473,5.73
,"South Dakota","46","1997","1997",75,10173,7.37
,"South Dakota","46","1998","1998",95,10288,9.23
"Total","South Dakota","46",,,326,41409,7.87
,"Tennessee","47","1995","1995",670,73173,9.16
,"Tennessee","47","1996","1996",627,73754,8.50
,"Tennessee","47","1997","1997",640,74478,8.59
,"Tennessee","47","1998","1998",633,77396,8.18
"Total","Tennessee","47",,,2570,298801,8.60
,"Texas","48","1995","1995",2103,322753,6.52
,"Texas","48","1996","1996",2063,330406,6.24
,"Texas","48","1997","1997",2129,333974,6.37
,"Texas","48","1998","1998",2179,342283,6.37
"Total","Texas","48",,,8473,1329416,6.37
,"Utah","49","1995","1995",214,39577,5.41
,"Utah","49","1996","1996",257,42087,6.11
,"Utah","49","1997","1997",250,43059,5.81
,"Utah","49","1998","1998",257,45165,5.69
"Total","Utah","49",,,978,169888,5.76
,"Vermont","50","1995","1995",38,6783,5.60
,"Vermont","50","1996","1996",47,6767,6.95
,"Vermont","50","1997","1997",41,6607,6.21
,"Vermont","50","1998","1998",45,6582,6.84
"Total","Vermont","50",,,172,26739,6.43
,"Virginia","51","1995","1995",725,92578,7.83
,"Virginia","51","1996","1996",707,92354,7.66
,"Virginia","51","1997","1997",710,91862,7.73
,"Virginia","51","1998","1998",719,94351,7.62
"Total","Virginia","51",,,2860,371145,7.71
,"Washington","53","1995","1995",447,77228,5.79
,"Washington","53","1996","1996",462,77945,5.93
,"Washington","53","1997","1997",434,78190,5.55
,"Washington","53","1998","1998",456,79663,5.72
"Total","Washington","53",,,1800,313026,5.75
,"West Virginia","54","1995","1995",167,21162,7.89
,"West Virginia","54","1996","1996",150,20750,7.23
,"West Virginia","54","1997","1997",199,20730,9.60
,"West Virginia","54","1998","1998",166,20747,8.00
"Total","West Virginia","54",,,682,83389,8.18
,"Wisconsin","55","1995","1995",490,67479,7.26
,"Wisconsin","55","1996","1996",488,67106,7.27
,"Wisconsin","55","1997","1997",436,66557,6.55
,"Wisconsin","55","1998","1998",489,67450,7.25
"Total","Wisconsin","55",,,1903,268592,7.09
,"Wyoming","56","1995","1995",49,6261,7.83
,"Wyoming","56","1996","1996",41,6286,6.52
,"Wyoming","56","1997","1997",38,6387,5.95
,"Wyoming","56","1998","1998",46,6252,7.36
