"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Births	Death Rate
	"Illinois"	"17"	"2002"	"2002"	"Non-Hispanic Black"	"7"	500	31604	15.82
	"Indiana"	"18"	"1999"	"1999"	"Non-Hispanic White"	"6"	498	70896	7.02
	"Indiana"	"18"	"1999"	"1999"	"Non-Hispanic Black"	"7"	150	9262	16.20
	"Indiana"	"18"	"2000"	"2000"	"Non-Hispanic White"	"6"	502	71214	7.05
	"Indiana"	"18"	"2000"	"2000"	"Non-Hispanic Black"	"7"	142	9447	15.03
	"Indiana"	"18"	"2001"	"2001"	"Non-Hispanic White"	"6"	487	69242	7.03
	"Indiana"	"18"	"2001"	"2001"	"Non-Hispanic Black"	"7"	117	9575	12.22
	"Indiana"	"18"	"2002"	"2002"	"Non-Hispanic White"	"6"	468	67895	6.89
	"Indiana"	"18"	"2002"	"2002"	"Non-Hispanic Black"	"7"	135	9271	14.56
	"Iowa"	"19"	"1999"	"1999"	"Non-Hispanic White"	"6"	169	33261	5.08
	"Iowa"	"19"	"1999"	"1999"	"Non-Hispanic Black"	"7"	25	1116	22.40
	"Iowa"	"19"	"2000"	"2000"	"Non-Hispanic White"	"6"	202	33608	6.01
	"Iowa"	"19"	"2000"	"2000"	"Non-Hispanic Black"	"7"	17	1203	14.13 (Unreliable)
	"Iowa"	"19"	"2001"	"2001"	"Non-Hispanic White"	"6"	178	33069	5.38
	"Iowa"	"19"	"2001"	"2001"	"Non-Hispanic Black"	"7"	14	1237	11.32 (Unreliable)
	"Iowa"	"19"	"2002"	"2002"	"Non-Hispanic White"	"6"	169	32709	5.17
	"Iowa"	"19"	"2002"	"2002"	"Non-Hispanic Black"	"7"	11	1243	8.85 (Unreliable)
	"Kansas"	"20"	"1999"	"1999"	"Non-Hispanic White"	"6"	217	30030	7.23
	"Kansas"	"20"	"1999"	"1999"	"Non-Hispanic Black"	"7"	36	2823	12.75
	"Kansas"	"20"	"2000"	"2000"	"Non-Hispanic White"	"6"	199	30181	6.59
